heart_rate,heart_rate_variability,heart_rate_moving_average,acc_variability_sum,hr_var_x_acc_var_sum,hr_var_div_acc_var_sum,level(Int)
96.0,6.7389434114052555,86.18888888888888,1.0135938254086496,6.830551431578669,6.648498399942747,0
102.0,6.897501764172771,86.44444444444444,1.010895027334165,6.972650234430885,6.823095718855033,0
102.0,7.043125582972948,86.7,1.025245490512341,7.220932743055117,6.869629714885365,0
102.0,7.176602293175158,86.95555555555555,1.070091991747002,7.679624641879906,6.706465690675847,0
102.0,7.298598363891739,87.21111111111111,1.0829091948289742,7.903719277622072,6.739744201361588,0
102.0,7.4096808829069545,87.46666666666667,1.0981383182626314,8.136854503618213,6.747431799221557,0
99.0,7.4927847107465935,87.64444444444445,1.1217528512965775,8.405052613431392,6.679473029514338,0
99.0,7.570756537942817,87.82222222222222,1.133747355157099,8.583325201430982,6.677580968719516,0
94.0,7.580817173216404,87.94444444444444,1.130859444964682,8.572838700882231,6.703529931744825,0
94.0,7.604626031479232,88.03333333333333,1.1258245558168527,8.561474724043382,6.754656794098554,0
94.0,7.627313099552269,88.12222222222222,1.1202289667166974,8.544337072336168,6.808648267170281,0
94.0,7.627313099552269,88.12222222222222,1.1128879298049887,8.488344685335196,6.85356032685656,0
94.0,7.627313099552269,88.12222222222222,1.1050129767138592,8.428279952464864,6.902402266995872,0
93.0,7.619378671245451,88.11111111111111,1.0839183662579348,8.258784481236924,7.029411636813204,0
93.0,7.5909878230595,88.07777777777778,1.0534872047772168,7.997008543212843,7.205513017630423,0
93.0,7.562341815392496,88.04444444444445,1.0529841907689352,7.963026376799148,7.181750746288728,0
94.0,7.562341815392496,88.04444444444445,1.0553488595939702,7.980908810734265,7.165659099410002,0
94.0,7.562341815392496,88.04444444444445,1.057489584384665,7.997097703334183,7.151153463377341,0
95.0,7.571919013899884,88.05555555555556,1.0595879342515608,8.023114026258295,7.14603036598807,0
